timestamp,episode_id,scenario_code,phase,detail
0.000,55,E2,EPISODE_SETUP,"Seed=1708; orders=1; Module1 conventional baseline"
1.590,55,E2,AlignAtSource,"Aligned at P1; preparing pick."
1.616,55,E2,ACTIVE,"Assigned parcel not yet staged at pickup: ParcelReady = 0"
10.618,55,E2,RECOVERED,"Human picking process complete: ParcelReady = 1"
10.618,55,E2,ScanBarcode,"Reading parcel barcode and validating station destination D2-Apparel."
10.929,55,E2,Pick,"Barcode EP0055-P01|DEST:D2-Apparel|TASK:E2-T01 verified: Apparel -> D2-Apparel. Pick action started."
12.442,55,E2,VerifyGrasp,"Verifying parcel grasp."
12.899,55,E2,SecureForTransport,"Grasp verified; retracting parcel to rear transport deck."
16.331,55,E2,NavigateToDestination,"Load secured: transporting to D2-Apparel."
0.000,62,E2,EPISODE_SETUP,"Seed=1708; orders=1; Module1 conventional baseline"
1.598,62,E2,AlignAtSource,"Aligned at P1; preparing pick."
1.626,62,E2,ACTIVE,"Assigned parcel not yet staged at pickup: ParcelReady = 0"
10.644,62,E2,RECOVERED,"Human picking process complete: ParcelReady = 1"
10.644,62,E2,ScanBarcode,"Reading parcel barcode and validating station destination D2-Apparel."
10.957,62,E2,Pick,"Barcode EP0062-P01|DEST:D2-Apparel|TASK:E2-T01 verified: Apparel -> D2-Apparel. Pick action started."
14.645,62,E2,VerifyGrasp,"Verifying parcel grasp."
15.095,62,E2,SecureForTransport,"Grasp verified; retracting parcel to rear transport deck."
18.516,62,E2,NavigateToDestination,"Load secured: transporting to D2-Apparel."
0.000,80,E2,EPISODE_SETUP,"Seed=1708; orders=1; Module1 conventional baseline"
1.591,80,E2,AlignAtSource,"Aligned at P1; preparing pick."
1.619,80,E2,ACTIVE,"Assigned parcel not yet staged at pickup: ParcelReady = 0"
10.631,80,E2,RECOVERED,"Human picking process complete: ParcelReady = 1"
10.631,80,E2,ScanBarcode,"Reading parcel barcode and validating station destination D2-Apparel."
10.933,80,E2,Pick,"Barcode EP0080-P01|DEST:D2-Apparel|TASK:E2-T01 verified: Apparel -> D2-Apparel. Pick action started."
14.388,80,E2,VerifyGrasp,"Verifying parcel grasp."
14.857,80,E2,SecureForTransport,"Grasp verified; retracting parcel to rear transport deck."
18.339,80,E2,NavigateToDestination,"Load secured: transporting to D2-Apparel."
67.339,80,E2,Place,"At D2-Apparel; placing parcel."
70.058,80,E2,VerifyRelease,"Verifying parcel release."
70.515,80,E2,Complete,"Mission complete: all parcels have been picked, verified, placed, and released."
70.515,80,E2,EXPOSURE_RECORDED,"Episode ended; use exposure flag when comparing policies. Complete"
0.000,81,E2,EPISODE_SETUP,"Seed=1708; orders=1; Module1 conventional baseline"
1.636,81,E2,AlignAtSource,"Aligned at P1; preparing pick."
1.679,81,E2,ACTIVE,"Assigned parcel not yet staged at pickup: ParcelReady = 0"
10.680,81,E2,RECOVERED,"Human picking process complete: ParcelReady = 1"
10.680,81,E2,ScanBarcode,"Reading parcel barcode and validating station destination D2-Apparel."
11.007,81,E2,Pick,"Barcode EP0081-P01|DEST:D2-Apparel|TASK:E2-T01 verified: Apparel -> D2-Apparel. Pick action started."
13.524,81,E2,VerifyGrasp,"Verifying parcel grasp."
13.995,81,E2,SecureForTransport,"Grasp verified; retracting parcel to rear transport deck."
17.432,81,E2,NavigateToDestination,"Load secured: transporting to D2-Apparel."
66.535,81,E2,Place,"At D2-Apparel; placing parcel."
69.310,81,E2,VerifyRelease,"Verifying parcel release."
69.779,81,E2,Complete,"Mission complete: all parcels have been picked, verified, placed, and released."
69.779,81,E2,EXPOSURE_RECORDED,"Episode ended; use exposure flag when comparing policies. Complete"
