timestamp,episode_id,scenario_code,phase,detail
0.000,17,A2,EPISODE_SETUP,"Seed=1703; orders=3; Module1 conventional baseline"
2.002,17,A2,AlignAtSource,"Aligned at P1; preparing pick."
2.459,17,A2,ScanBarcode,"Reading parcel barcode and validating station destination D2-Apparel."
2.763,17,A2,Pick,"Barcode ATD-APL-A2-001 verified: Apparel -> D2-Apparel. Pick action started."
5.836,17,A2,VerifyGrasp,"Verifying parcel grasp."
6.297,17,A2,SecureForTransport,"Grasp verified; retracting parcel to rear transport deck."
9.297,17,A2,NavigateToDestination,"Load secured: transporting to D2-Apparel."
30.632,17,A2,NO_DISTURBANCE_EXPOSURE,"Episode ended; use exposure flag when comparing policies. COLLISION_FORKLIFT"
0.000,25,A2,EPISODE_SETUP,"Seed=1703; orders=3; Module1 conventional baseline"
2.006,25,A2,AlignAtSource,"Aligned at P2; preparing pick."
2.469,25,A2,ScanBarcode,"Reading parcel barcode and validating station destination D3-Healthcare."
2.797,25,A2,Pick,"Barcode ATD-HLT-A2-001 verified: Healthcare -> D3-Healthcare. Pick action started."
5.868,25,A2,VerifyGrasp,"Verifying parcel grasp."
6.338,25,A2,SecureForTransport,"Grasp verified; retracting parcel to rear transport deck."
9.456,25,A2,NavigateToDestination,"Load secured: transporting to D3-Healthcare."
30.928,25,A2,NO_DISTURBANCE_EXPOSURE,"Episode ended; use exposure flag when comparing policies. COLLISION_FORKLIFT"
0.000,29,A2,EPISODE_SETUP,"Seed=1703; orders=3; Module1 conventional baseline"
1.979,29,A2,AlignAtSource,"Aligned at P2; preparing pick."
2.438,29,A2,ScanBarcode,"Reading parcel barcode and validating station destination D3-Healthcare."
2.746,29,A2,Pick,"Barcode ATD-HLT-A2-001 verified: Healthcare -> D3-Healthcare. Pick action started."
7.084,29,A2,VerifyGrasp,"Verifying parcel grasp."
7.549,29,A2,SecureForTransport,"Grasp verified; retracting parcel to rear transport deck."
11.003,29,A2,NavigateToDestination,"Load secured: transporting to D3-Healthcare."
32.543,29,A2,NO_DISTURBANCE_EXPOSURE,"Episode ended; use exposure flag when comparing policies. COLLISION_FORKLIFT"
0.000,32,A2,EPISODE_SETUP,"Seed=1703; orders=3; Module1 conventional baseline"
1.964,32,A2,AlignAtSource,"Aligned at P2; preparing pick."
2.414,32,A2,ScanBarcode,"Reading parcel barcode and validating station destination D3-Healthcare."
2.717,32,A2,Pick,"Barcode ATD-HLT-A2-001 verified: Healthcare -> D3-Healthcare. Pick action started."
5.695,32,A2,VerifyGrasp,"Verifying parcel grasp."
6.151,32,A2,SecureForTransport,"Grasp verified; retracting parcel to rear transport deck."
9.097,32,A2,NavigateToDestination,"Load secured: transporting to D3-Healthcare."
30.559,32,A2,NO_DISTURBANCE_EXPOSURE,"Episode ended; use exposure flag when comparing policies. COLLISION_FORKLIFT"
0.000,45,A2,EPISODE_SETUP,"Seed=1703; orders=3; Module1 conventional baseline"
1.992,45,A2,AlignAtSource,"Aligned at P2; preparing pick."
2.457,45,A2,ScanBarcode,"Reading parcel barcode and validating station destination D3-Healthcare."
2.768,45,A2,Pick,"Barcode ATD-HLT-A2-001 verified: Healthcare -> D3-Healthcare. Pick action started."
5.807,45,A2,VerifyGrasp,"Verifying parcel grasp."
6.282,45,A2,SecureForTransport,"Grasp verified; retracting parcel to rear transport deck."
9.350,45,A2,NavigateToDestination,"Load secured: transporting to D3-Healthcare."
30.768,45,A2,NO_DISTURBANCE_EXPOSURE,"Episode ended; use exposure flag when comparing policies. COLLISION_FORKLIFT"
0.000,67,A2,EPISODE_SETUP,"Seed=1703; orders=3; Module1 conventional baseline"
2.015,67,A2,AlignAtSource,"Aligned at P2; preparing pick."
2.482,67,A2,ScanBarcode,"Reading parcel barcode and validating station destination D3-Healthcare."
2.796,67,A2,Pick,"Barcode EP0067-P01|DEST:D3-Healthcare|TASK:A2-T01 verified: Healthcare -> D3-Healthcare. Pick action started."
5.841,67,A2,VerifyGrasp,"Verifying parcel grasp."
