timestamp,scenario_id,episode_id,step_id,lidar_trust,camera_trust,imu_trust,encoder_trust,communication_trust,overall_trust,twin_robot_x,twin_robot_z,trusted_robot_x,trusted_robot_z,trusted_robot_yaw,trusted_robot_velocity,h1_position,twin_age,state_source,rejected_sources,context_status
0.2141,4,129,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,23.9978,-17.1489,23.9978,-17.1489,-2.4523,0.2632,"9.333:0.050:13.500",0.0000,"TWIN_WORLD_STATE_FUSED","NONE","A4 target rack matches the committed destination"
0.3202,4,129,2,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,23.9978,-17.1489,23.9978,-17.1489,-2.4523,0.2632,"9.333:0.050:13.500",0.1062,"TWIN_WORLD_STATE_FUSED","NONE","A4 target rack matches the committed destination"
0.4336,4,129,3,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,23.9978,-17.1489,23.9978,-17.1489,-2.4523,0.2632,"9.333:0.050:13.500",0.2196,"TWIN_WORLD_STATE_FUSED","NONE","A4 target rack matches the committed destination"
0.5453,4,129,4,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,23.9978,-17.1489,23.9978,-17.1489,-2.4523,0.2632,"9.333:0.050:13.500",0.3312,"TWIN_WORLD_STATE_FUSED","NONE","A4 target rack matches the committed destination"
0.6536,4,129,5,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,23.9978,-17.1489,23.9978,-17.1489,-2.4523,0.2632,"9.333:0.050:13.500",0.4395,"TWIN_WORLD_STATE_FUSED","NONE","A4 target rack matches the committed destination"
0.7633,4,129,6,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,23.9984,-16.9267,23.9984,-16.9267,8.5079,0.3586,"9.333:0.050:13.500",0.0000,"TWIN_WORLD_STATE_FUSED","NONE","A4 target rack matches the committed destination"
0.8720,4,129,7,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,24.0008,-16.8402,24.0008,-16.8402,2.3258,0.8826,"9.333:0.050:13.500",0.0000,"TWIN_WORLD_STATE_FUSED","NONE","A4 target rack matches the committed destination"
0.9816,4,129,8,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,24.0008,-16.8402,24.0008,-16.8402,2.3258,0.8826,"9.333:0.050:13.500",0.1097,"TWIN_WORLD_STATE_FUSED","NONE","A4 target rack matches the committed destination"
1.0934,4,129,9,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,24.0196,-16.6413,24.0196,-16.6413,7.4823,1.3571,"9.333:0.050:13.500",0.0000,"TWIN_WORLD_STATE_FUSED","NONE","A4 target rack matches the committed destination"
1.2007,4,129,10,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,24.0196,-16.6413,24.0196,-16.6413,7.4823,1.3571,"9.333:0.050:13.500",0.1073,"TWIN_WORLD_STATE_FUSED","NONE","A4 target rack matches the committed destination"
1.3036,4,129,11,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,24.0196,-16.6413,24.0196,-16.6413,7.4823,1.3571,"9.333:0.050:13.500",0.2102,"TWIN_WORLD_STATE_FUSED","NONE","A4 target rack matches the committed destination"
1.4047,4,129,12,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,24.0879,-16.2738,24.0879,-16.2738,13.6013,0.8641,"9.333:0.050:13.500",0.0000,"TWIN_WORLD_STATE_FUSED","NONE","A4 target rack matches the committed destination"
1.5088,4,129,13,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,24.1139,-16.1237,24.1139,-16.1237,8.7154,1.3662,"9.333:0.050:13.500",0.0000,"TWIN_WORLD_STATE_FUSED","NONE","A4 target rack matches the committed destination"
1.6164,4,129,14,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,24.1139,-16.1237,24.1139,-16.1237,8.7154,1.3662,"9.333:0.050:13.500",0.1076,"TWIN_WORLD_STATE_FUSED","NONE","A4 target rack matches the committed destination"
1.7206,4,129,15,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,24.1139,-16.1237,24.1139,-16.1237,8.7154,1.3662,"9.333:0.050:13.500",0.2118,"TWIN_WORLD_STATE_FUSED","NONE","A4 target rack matches the committed destination"
1.8245,4,129,16,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,24.1356,-15.6946,24.1356,-15.6946,-4.4987,1.2628,"9.333:0.050:13.500",0.0000,"TWIN_WORLD_STATE_FUSED","NONE","A4 target rack matches the committed destination"
1.9273,4,129,17,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,24.1356,-15.6946,24.1356,-15.6946,-4.4987,1.2628,"9.333:0.050:13.500",0.1028,"TWIN_WORLD_STATE_FUSED","NONE","A4 target rack matches the committed destination"
2.0312,4,129,18,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,24.1419,-15.4474,24.1419,-15.4474,15.3064,0.9639,"9.333:0.050:13.500",0.0000,"TWIN_WORLD_STATE_FUSED","NONE","A4 target rack matches the committed destination"
2.1392,4,129,19,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,24.2234,-15.3609,24.2234,-15.3609,56.0940,0.7564,"9.333:0.050:13.500",0.0000,"TWIN_WORLD_STATE_FUSED","NONE","A4 target rack matches the committed destination"
2.2440,4,129,20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,24.2920,-15.3369,24.2920,-15.3369,75.3914,0.6339,"9.333:0.050:13.500",0.0000,"TWIN_WORLD_STATE_FUSED","NONE","A4 target rack matches the committed destination"
2.3476,4,129,21,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,24.3780,-15.3245,24.3780,-15.3245,88.9780,0.3879,"9.333:0.050:13.500",0.0000,"TWIN_WORLD_STATE_FUSED","NONE","A4 target rack matches the committed destination"
2.4663,4,129,22,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,24.3780,-15.3245,24.3780,-15.3245,88.9780,0.3879,"9.333:0.050:13.500",0.1187,"TWIN_WORLD_STATE_FUSED","NONE","A4 target rack matches the committed destination"
