timestamp,scenario_id,episode_id,step_id,lidar_min_distance,lidar_front_distance,lidar_left_distance,lidar_right_distance,lidar_measurement_count,camera_detection_count,camera_detected_objects,ax,ay,az,gx,gy,gz,left_wheel_distance,right_wheel_distance,left_wheel_velocity,right_wheel_velocity,estimated_x,estimated_y,estimated_yaw,estimated_velocity,missing_sensor_flag,sensor_dropout_flag,parcel_id,parcel_position,source_id,destination_id,parcel_mass,carrying_status,grasp_status,rack_available,PD1_available,PD2_available,PD3_available,human_positions,human_velocities,forklift_positions,forklift_velocities,h1_position,h1_velocity,h2_position,h2_velocity,h3_position,h3_velocity,h4_position,h4_velocity,h5_position,h5_velocity,f1_position,f1_velocity,f2_position,f2_velocity,battery_level,sensor_status,communication_delay,task_priority,current_task_stage
0.1022,6,6,1,5.8824,9.9969,5.9104,9.9808,180,1,"Human(Clone):-22.04:0.01:-5.96",-1.2761,-0.0436,0.2882,-0.0025,0.0110,0.0257,0.0001,0.0020,0.0037,0.0943,-24.8953,-13.5786,7.3285,0.0490,False,False,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.921|H2:-4.200:0.000:-13.421|H3:-22.000:0.000:-5.921|H4:4.200:0.000:13.421|H5:8.400:0.000:9.921","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-13.371|F2:20.000:0.000:-7.871","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.921","0.000:0.000:0.800","-4.200:0.000:-13.421","0.000:0.000:0.800","-22.000:0.000:-5.921","0.000:0.000:0.800","4.200:0.000:13.421","0.000:0.000:-0.800","8.400:0.000:9.921","0.000:0.000:-0.800","0.000:0.000:-13.371","0.000:0.000:1.300","20.000:0.000:-7.871","0.000:0.000:1.300",99.998,"Nominal",0.000,1,"NavigateToSource:Forward"
0.2038,6,6,2,5.9640,7.5924,6.1687,10.0000,180,2,"Human(Clone):-22.03:0.01:-5.88|Human(Clone):-8.36:0.01:-9.92",7.8113,0.0161,-1.9146,-0.0181,1.5373,-0.0200,0.0040,0.0050,0.1981,0.2436,-24.8913,-13.5617,17.2899,0.2209,False,False,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.840|H2:-4.200:0.000:-13.340|H3:-22.000:0.000:-5.840|H4:4.200:0.000:13.340|H5:8.400:0.000:9.840","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-13.239|F2:20.000:0.000:-7.739","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.840","0.000:0.000:0.800","-4.200:0.000:-13.340","0.000:0.000:0.800","-22.000:0.000:-5.840","0.000:0.000:0.800","4.200:0.000:13.340","0.000:0.000:-0.800","8.400:0.000:9.840","0.000:0.000:-0.800","0.000:0.000:-13.239","0.000:0.000:1.300","20.000:0.000:-7.739","0.000:0.000:1.300",99.996,"Nominal",0.000,1,"NavigateToSource:Forward"
0.3054,6,6,3,6.1358,9.9854,6.7046,9.9802,180,3,"Human(Clone):-22.02:-0.04:-5.79|Forklift(Clone):0.00:0.01:-13.10|Human(Clone):-8.43:0.02:-9.79",8.1480,0.0122,-1.9639,-0.0078,1.5817,0.0297,0.0323,0.0292,1.6002,1.4449,-24.8456,-13.4683,28.8481,1.5226,False,False,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.758|H2:-4.200:0.000:-13.258|H3:-22.000:0.000:-5.758|H4:4.200:0.000:13.258|H5:8.400:0.000:9.758","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-13.107|F2:20.000:0.000:-7.607","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.758","0.000:0.000:0.800","-4.200:0.000:-13.258","0.000:0.000:0.800","-22.000:0.000:-5.758","0.000:0.000:0.800","4.200:0.000:13.258","0.000:0.000:-0.800","8.400:0.000:9.758","0.000:0.000:-0.800","0.000:0.000:-13.107","0.000:0.000:1.300","20.000:0.000:-7.607","0.000:0.000:1.300",99.994,"Nominal",0.000,1,"NavigateToSource:Forward"
0.4081,6,6,4,6.2540,9.9960,7.5602,10.0000,180,5,"Human(Clone):-22.04:0.00:-5.75|Parcel_1_R3_to_PD3:6.62:1.15:-13.49|Human(Clone):-4.18:-0.04:-13.21|Forklift(Clone):0.00:-0.01:-13.09|Human(Clone):-8.38:-0.02:-9.76",0.0322,-0.0506,0.0306,-0.0359,1.5805,0.0454,0.0349,0.0155,1.6828,0.7473,-24.7542,-13.3539,39.3724,1.2151,False,False,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.676|H2:-4.200:0.000:-13.176|H3:-22.000:0.000:-5.676|H4:4.200:0.000:13.176|H5:8.400:0.000:9.676","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-12.974|F2:20.000:0.000:-7.474","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.676","0.000:0.000:0.800","-4.200:0.000:-13.176","0.000:0.000:0.800","-22.000:0.000:-5.676","0.000:0.000:0.800","4.200:0.000:13.176","0.000:0.000:-0.800","8.400:0.000:9.676","0.000:0.000:-0.800","0.000:0.000:-12.974","0.000:0.000:1.300","20.000:0.000:-7.474","0.000:0.000:1.300",99.992,"Nominal",0.000,1,"NavigateToSource:Forward"
0.5083,6,6,5,5.9900,10.0000,8.7591,9.1123,180,5,"Human(Clone):-21.99:-0.02:-5.58|Parcel_1_R3_to_PD3:6.67:1.11:-13.51|Human(Clone):-4.23:0.01:-13.12|Forklift(Clone):-0.02:0.00:-12.83|Human(Clone):-8.41:-0.01:-9.65",-0.0394,0.0321,-0.0057,0.0194,1.5498,0.0099,0.0384,0.0613,1.7740,2.8281,-24.6284,-13.2526,57.6722,2.3011,False,False,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.596|H2:-4.200:0.000:-13.096|H3:-22.000:0.000:-5.596|H4:4.200:0.000:13.096|H5:8.400:0.000:9.596","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-12.843|F2:20.000:0.000:-7.343","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.596","0.000:0.000:0.800","-4.200:0.000:-13.096","0.000:0.000:0.800","-22.000:0.000:-5.596","0.000:0.000:0.800","4.200:0.000:13.096","0.000:0.000:-0.800","8.400:0.000:9.596","0.000:0.000:-0.800","0.000:0.000:-12.843","0.000:0.000:1.300","20.000:0.000:-7.343","0.000:0.000:1.300",99.990,"Nominal",0.000,1,"NavigateToSource:Forward"
0.6091,6,6,6,5.9224,9.9970,10.0000,7.6984,180,4,"Human(Clone):-22.02:-0.02:-5.57|Human(Clone):-4.20:-0.01:-13.04|Forklift(Clone):0.00:0.01:-12.78|Human(Clone):-8.38:0.01:-9.59",-0.0112,0.0258,0.0109,0.0080,1.5553,-0.0092,0.0356,0.0595,1.6376,2.7407,-24.4694,-13.1751,69.2862,2.1891,False,False,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.515|H2:-4.200:0.000:-13.015|H3:-22.000:0.000:-5.515|H4:4.200:0.000:13.015|H5:8.400:0.000:9.515","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-12.712|F2:20.000:0.000:-7.212","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.515","0.000:0.000:0.800","-4.200:0.000:-13.015","0.000:0.000:0.800","-22.000:0.000:-5.515","0.000:0.000:0.800","4.200:0.000:13.015","0.000:0.000:-0.800","8.400:0.000:9.515","0.000:0.000:-0.800","0.000:0.000:-12.712","0.000:0.000:1.300","20.000:0.000:-7.212","0.000:0.000:1.300",99.988,"Nominal",0.000,1,"NavigateToSource:Forward"
0.7097,6,6,7,5.8161,10.0000,9.9902,6.8195,180,4,"Human(Clone):-22.03:0.03:-5.46|Human(Clone):-4.21:0.04:-12.93|Forklift(Clone):-0.01:0.01:-12.57|Human(Clone):-8.39:0.04:-9.46",-0.0033,-0.0722,0.0149,-0.0021,1.5861,0.0351,-0.0001,0.0400,-0.0029,1.9086,-24.3478,-13.1378,78.2397,0.9529,False,False,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.435|H2:-4.200:0.000:-12.935|H3:-22.000:0.000:-5.435|H4:4.200:0.000:12.935|H5:8.400:0.000:9.435","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-12.582|F2:20.000:0.000:-7.082","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.435","0.000:0.000:0.800","-4.200:0.000:-12.935","0.000:0.000:0.800","-22.000:0.000:-5.435","0.000:0.000:0.800","4.200:0.000:12.935","0.000:0.000:-0.800","8.400:0.000:9.435","0.000:0.000:-0.800","0.000:0.000:-12.582","0.000:0.000:1.300","20.000:0.000:-7.082","0.000:0.000:1.300",99.986,"Nominal",0.000,1,"NavigateToSource:Forward"
0.8114,6,6,8,5.7221,10.0000,10.0000,6.2296,180,3,"Human(Clone):-22.00:0.00:-5.40|Human(Clone):-4.20:0.00:-12.90|Human(Clone):-8.41:-0.02:-9.39",-0.0318,0.0387,0.0028,-0.0100,1.5339,-0.0267,0.0278,0.0343,1.2865,1.5873,-24.1726,-13.1133,83.6739,1.4369,False,False,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.353|H2:-4.200:0.000:-12.853|H3:-22.000:0.000:-5.353|H4:4.200:0.000:12.853|H5:8.400:0.000:9.353","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-12.449|F2:20.000:0.000:-6.949","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.353","0.000:0.000:0.800","-4.200:0.000:-12.853","0.000:0.000:0.800","-22.000:0.000:-5.353","0.000:0.000:0.800","4.200:0.000:12.853","0.000:0.000:-0.800","8.400:0.000:9.353","0.000:0.000:-0.800","0.000:0.000:-12.449","0.000:0.000:1.300","20.000:0.000:-6.949","0.000:0.000:1.300",99.984,"Nominal",0.000,1,"NavigateToSource:Forward"
0.9133,6,6,9,5.6698,9.9966,10.0000,5.8485,180,2,"Human(Clone):-4.21:0.03:-12.79|Human(Clone):-8.44:0.01:-9.30",-0.0213,-0.0129,0.0350,-0.0010,1.2048,-0.0201,0.0243,0.0248,1.1886,1.2118,-24.0026,-13.1148,92.7393,1.2002,False,False,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.272|H2:-4.200:0.000:-12.772|H3:-22.000:0.000:-5.272|H4:4.200:0.000:12.772|H5:8.400:0.000:9.272","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-12.317|F2:20.000:0.000:-6.817","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.272","0.000:0.000:0.800","-4.200:0.000:-12.772","0.000:0.000:0.800","-22.000:0.000:-5.272","0.000:0.000:0.800","4.200:0.000:12.772","0.000:0.000:-0.800","8.400:0.000:9.272","0.000:0.000:-0.800","0.000:0.000:-12.317","0.000:0.000:1.300","20.000:0.000:-6.817","0.000:0.000:1.300",99.982,"Nominal",0.000,1,"NavigateToSource:Forward"
1.0160,6,6,10,5.5975,9.9844,10.0000,5.6357,180,2,"Human(Clone):-4.19:0.03:-12.70|Human(Clone):-8.38:-0.01:-9.27",0.0339,-0.0142,0.0708,0.0155,0.9190,-0.0139,0.0261,0.0337,1.2900,1.6680,-23.8703,-13.1276,99.7490,1.4790,False,False,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.190|H2:-4.200:0.000:-12.690|H3:-22.000:0.000:-5.190|H4:4.200:0.000:12.690|H5:8.400:0.000:9.190","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-12.183|F2:20.000:0.000:-6.683","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.190","0.000:0.000:0.800","-4.200:0.000:-12.690","0.000:0.000:0.800","-22.000:0.000:-5.190","0.000:0.000:0.800","4.200:0.000:12.690","0.000:0.000:-0.800","8.400:0.000:9.190","0.000:0.000:-0.800","0.000:0.000:-12.183","0.000:0.000:1.300","20.000:0.000:-6.683","0.000:0.000:1.300",99.980,"Nominal",0.000,1,"NavigateToSource:Forward"
