timestamp,episode_id,scenario_code,phase,detail
0.000,20,T2,EPISODE_SETUP,"Seed=1713; orders=1; Module1 conventional baseline"
1.564,20,T2,AlignAtSource,"Aligned at P3; preparing pick."
2.022,20,T2,ScanBarcode,"Reading parcel barcode and checking the category rack for an empty slot."
2.324,20,T2,Pick,"Barcode ATD-T2-001 verified: Electronics -> Rack_0_3-S01. Pick action started."
4.471,20,T2,VerifyGrasp,"Verifying parcel grasp."
4.926,20,T2,SecureForTransport,"Grasp verified; retracting parcel to rear transport deck."
8.040,20,T2,NavigateToDestination,"Load secured: transporting to D1-Electronics."
8.064,20,T2,DISPATCHED,"Operational order released after verified AMR pickup"
9.066,20,T2,ACTIVE,"H2 worker-tag link interrupted"
17.075,20,T2,RECOVERED,"Disturbance window cleared; ordinary jobs continue"
19.382,20,T2,Place,"At D1-Electronics; placing parcel."
23.460,20,T2,VerifyRelease,"Verifying parcel release."
23.938,20,T2,Complete,"Mission complete: all parcels have been picked, verified, placed, and released."
23.938,20,T2,EXPOSURE_RECORDED,"Episode ended; use exposure flag when comparing policies. Complete"
0.000,37,T2,EPISODE_SETUP,"Seed=1713; orders=1; Module1 conventional baseline"
1.548,37,T2,AlignAtSource,"Aligned at P3; preparing pick."
2.000,37,T2,ScanBarcode,"Reading parcel barcode and validating station destination D1-Electronics."
2.304,37,T2,Pick,"Barcode ATD-T2-001 verified: Electronics -> D1-Electronics. Pick action started."
5.347,37,T2,VerifyGrasp,"Verifying parcel grasp."
5.798,37,T2,SecureForTransport,"Grasp verified; retracting parcel to rear transport deck."
8.843,37,T2,NavigateToDestination,"Load secured: transporting to D1-Electronics."
8.850,37,T2,DISPATCHED,"Operational order released after verified AMR pickup"
9.851,37,T2,ACTIVE,"H2 worker-tag link interrupted"
17.854,37,T2,RECOVERED,"Disturbance window cleared; ordinary jobs continue"
19.468,37,T2,Place,"At D1-Electronics; placing parcel."
21.109,37,T2,VerifyRelease,"Verifying parcel release."
21.560,37,T2,Complete,"Mission complete: all parcels have been picked, verified, placed, and released."
21.560,37,T2,EXPOSURE_RECORDED,"Episode ended; use exposure flag when comparing policies. Complete"
