timestamp,episode_id,scenario_code,phase,detail
0.000,13,A1,EPISODE_SETUP,"Seed=1702; orders=3; Module1 conventional baseline"
0.000,14,A1,EPISODE_SETUP,"Seed=1702; orders=3; Module1 conventional baseline"
0.000,15,A1,EPISODE_SETUP,"Seed=1702; orders=3; Module1 conventional baseline"
2.252,15,A1,AlignAtSource,"Aligned at P1; preparing pick."
2.704,15,A1,ScanBarcode,"Reading parcel barcode and validating station destination D2-Apparel."
3.005,15,A1,Pick,"Barcode ATD-APL-0001 verified: Apparel -> D2-Apparel. Pick action started."
4.506,15,A1,VerifyGrasp,"Verifying parcel grasp."
4.962,15,A1,SecureForTransport,"Grasp verified; retracting parcel to rear transport deck."
8.328,15,A1,NavigateToDestination,"Load secured: transporting to D2-Apparel."
32.894,15,A1,NO_DISTURBANCE_EXPOSURE,"Episode ended; use exposure flag when comparing policies. COLLISION_FORKLIFT"
0.000,16,A1,EPISODE_SETUP,"Seed=1702; orders=3; Module1 conventional baseline"
1.986,16,A1,AlignAtSource,"Aligned at P1; preparing pick."
2.467,16,A1,ScanBarcode,"Reading parcel barcode and validating station destination D2-Apparel."
2.769,16,A1,Pick,"Barcode ATD-APL-0001 verified: Apparel -> D2-Apparel. Pick action started."
4.274,16,A1,VerifyGrasp,"Verifying parcel grasp."
4.728,16,A1,SecureForTransport,"Grasp verified; retracting parcel to rear transport deck."
7.988,16,A1,NavigateToDestination,"Load secured: transporting to D2-Apparel."
33.006,16,A1,NO_DISTURBANCE_EXPOSURE,"Episode ended; use exposure flag when comparing policies. COLLISION_FORKLIFT"
0.000,18,A1,EPISODE_SETUP,"Seed=1702; orders=3; Module1 conventional baseline"
1.978,18,A1,AlignAtSource,"Aligned at P1; preparing pick."
2.503,18,A1,ScanBarcode,"Reading parcel barcode and validating station destination D2-Apparel."
2.834,18,A1,Pick,"Barcode ATD-APL-0001 verified: Apparel -> D2-Apparel. Pick action started."
4.327,18,A1,VerifyGrasp,"Verifying parcel grasp."
4.782,18,A1,SecureForTransport,"Grasp verified; retracting parcel to rear transport deck."
8.217,18,A1,NavigateToDestination,"Load secured: transporting to D2-Apparel."
0.000,22,A1,EPISODE_SETUP,"Seed=1702; orders=3; Module1 conventional baseline"
1.981,22,A1,AlignAtSource,"Aligned at P1; preparing pick."
2.443,22,A1,ScanBarcode,"Reading parcel barcode and validating station destination D2-Apparel."
2.750,22,A1,Pick,"Barcode ATD-APL-0001 verified: Apparel -> D2-Apparel. Pick action started."
4.235,22,A1,VerifyGrasp,"Verifying parcel grasp."
4.706,22,A1,SecureForTransport,"Grasp verified; retracting parcel to rear transport deck."
7.726,22,A1,NavigateToDestination,"Load secured: transporting to D2-Apparel."
32.484,22,A1,NO_DISTURBANCE_EXPOSURE,"Episode ended; use exposure flag when comparing policies. COLLISION_FORKLIFT"
0.000,24,A1,EPISODE_SETUP,"Seed=1702; orders=3; Module1 conventional baseline"
