timestamp,episode_id,scenario_code,phase,detail
0.000,23,A4,EPISODE_SETUP,"Seed=1705; orders=3; Module1 conventional baseline"
1.973,23,A4,AlignAtSource,"Aligned at P2; preparing pick."
2.451,23,A4,ScanBarcode,"Reading parcel barcode and checking the category rack for an empty slot."
2.752,23,A4,Pick,"Barcode ATD-BOK-A4-001 verified: Books -> Rack_4_3-S01. Pick action started."
5.799,23,A4,VerifyGrasp,"Verifying parcel grasp."
6.249,23,A4,SecureForTransport,"Grasp verified; retracting parcel to rear transport deck."
9.284,23,A4,NavigateToDestination,"Load secured: transporting to Rack-Books."
37.090,23,A4,Place,"At Rack-Books; placing parcel."
40.479,23,A4,Complete,"Wrong Placement: parcel was deposited at the stale rack position; scenario ended."
40.479,23,A4,NO_DISTURBANCE_EXPOSURE,"Episode ended; use exposure flag when comparing policies. WRONG_PLACEMENT"
0.000,27,A4,EPISODE_SETUP,"Seed=1705; orders=3; Module1 conventional baseline"
1.972,27,A4,AlignAtSource,"Aligned at P2; preparing pick."
2.432,27,A4,ScanBarcode,"Reading parcel barcode and checking the category rack for an empty slot."
2.735,27,A4,Pick,"Barcode ATD-BOK-A4-001 verified: Books -> Rack_4_3-S01. Pick action started."
5.636,27,A4,VerifyGrasp,"Verifying parcel grasp."
6.093,27,A4,SecureForTransport,"Grasp verified; retracting parcel to rear transport deck."
8.989,27,A4,NavigateToDestination,"Load secured: transporting to Rack-Books."
0.000,34,A4,EPISODE_SETUP,"Seed=1705; orders=3; Module1 conventional baseline"
1.947,34,A4,AlignAtSource,"Aligned at P2; preparing pick."
2.402,34,A4,ScanBarcode,"Reading parcel barcode and checking the category rack for an empty slot."
2.703,34,A4,Pick,"Barcode ATD-BOK-A4-001 verified: Books -> Rack_4_3-S01. Pick action started."
4.207,34,A4,VerifyGrasp,"Verifying parcel grasp."
4.657,34,A4,SecureForTransport,"Grasp verified; retracting parcel to rear transport deck."
7.517,34,A4,NavigateToDestination,"Load secured: transporting to Rack-Books."
35.304,34,A4,Place,"At Rack-Books; placing parcel."
38.608,34,A4,Complete,"Wrong Placement: parcel was deposited at the stale rack position; scenario ended."
38.608,34,A4,NO_DISTURBANCE_EXPOSURE,"Episode ended; use exposure flag when comparing policies. WRONG_PLACEMENT"
0.000,47,A4,EPISODE_SETUP,"Seed=1705; orders=3; Module1 conventional baseline"
2.003,47,A4,AlignAtSource,"Aligned at P2; preparing pick."
2.460,47,A4,ScanBarcode,"Reading parcel barcode and checking the category rack for an empty slot."
2.783,47,A4,Pick,"Barcode ATD-BOK-A4-001 verified: Books -> Rack_4_3-S01. Pick action started."
5.772,47,A4,VerifyGrasp,"Verifying parcel grasp."
6.249,47,A4,SecureForTransport,"Grasp verified; retracting parcel to rear transport deck."
9.279,47,A4,NavigateToDestination,"Load secured: transporting to Rack-Books."
0.000,129,A4,EPISODE_SETUP,"Seed=1705; orders=3; Module1 conventional baseline"
1.979,129,A4,AlignAtSource,"Aligned at P2; preparing pick."
2.447,129,A4,ScanBarcode,"Reading parcel barcode and checking the category rack for an empty slot."
2.749,129,A4,Pick,"Barcode EP0129-P01|DEST:Rack-Books|TASK:A4-T01 verified: Books -> Rack_4_3-S01. Pick action started."
4.240,129,A4,VerifyGrasp,"Verifying parcel grasp."
4.703,129,A4,SecureForTransport,"Grasp verified; retracting parcel to rear transport deck."
7.673,129,A4,NavigateToDestination,"Load secured: transporting to Rack-Books."
35.467,129,A4,Place,"At Rack-Books; placing parcel."
38.839,129,A4,Complete,"Wrong Placement: parcel was deposited at the stale rack position; scenario ended."
38.839,129,A4,NO_DISTURBANCE_EXPOSURE,"Episode ended; use exposure flag when comparing policies. WRONG_PLACEMENT"
0.000,132,A4,EPISODE_SETUP,"Seed=1705; orders=3; Module1 conventional baseline"
1.968,132,A4,AlignAtSource,"Aligned at P2; preparing pick."
2.432,132,A4,ScanBarcode,"Reading parcel barcode and checking the category rack for an empty slot."
2.743,132,A4,Pick,"Barcode EP0132-P01|DEST:Rack-Books|TASK:A4-T01 verified: Books -> Rack_4_3-S01. Pick action started."
4.236,132,A4,VerifyGrasp,"Verifying parcel grasp."
4.691,132,A4,SecureForTransport,"Grasp verified; retracting parcel to rear transport deck."
7.657,132,A4,NavigateToDestination,"Load secured: transporting to Rack-Books."
35.457,132,A4,Place,"At Rack-Books; placing parcel."
38.795,132,A4,Complete,"Wrong Placement: parcel was deposited at the stale rack position; scenario ended."
38.795,132,A4,NO_DISTURBANCE_EXPOSURE,"Episode ended; use exposure flag when comparing policies. WRONG_PLACEMENT"
0.000,133,A4,EPISODE_SETUP,"Seed=1705; orders=3; Module1 conventional baseline"
1.977,133,A4,AlignAtSource,"Aligned at P2; preparing pick."
2.440,133,A4,ScanBarcode,"Reading parcel barcode and checking the category rack for an empty slot."
2.744,133,A4,Pick,"Barcode EP0133-P01|DEST:Rack-Books|TASK:A4-T01 verified: Books -> Rack_4_3-S01. Pick action started."
4.237,133,A4,VerifyGrasp,"Verifying parcel grasp."
4.695,133,A4,SecureForTransport,"Grasp verified; retracting parcel to rear transport deck."
7.669,133,A4,NavigateToDestination,"Load secured: transporting to Rack-Books."
35.478,133,A4,Place,"At Rack-Books; placing parcel."
38.817,133,A4,Complete,"Wrong Placement: parcel was deposited at the stale rack position; scenario ended."
38.817,133,A4,NO_DISTURBANCE_EXPOSURE,"Episode ended; use exposure flag when comparing policies. WRONG_PLACEMENT"
0.000,135,A4,EPISODE_SETUP,"Seed=1705; orders=3; Module1 conventional baseline"
1.967,135,A4,AlignAtSource,"Aligned at P2; preparing pick."
2.432,135,A4,ScanBarcode,"Reading parcel barcode and checking the category rack for an empty slot."
2.736,135,A4,Pick,"Barcode EP0135-P01|DEST:Rack-Books|TASK:A4-T01 verified: Books -> Rack_4_3-S01. Pick action started."
4.243,135,A4,VerifyGrasp,"Verifying parcel grasp."
4.696,135,A4,SecureForTransport,"Grasp verified; retracting parcel to rear transport deck."
7.680,135,A4,NavigateToDestination,"Load secured: transporting to Rack-Books."
35.484,135,A4,Place,"At Rack-Books; placing parcel."
38.815,135,A4,Complete,"Wrong Placement: parcel was deposited at the stale rack position; scenario ended."
38.815,135,A4,NO_DISTURBANCE_EXPOSURE,"Episode ended; use exposure flag when comparing policies. WRONG_PLACEMENT"
0.000,136,A4,EPISODE_SETUP,"Seed=1705; orders=3; Module1 conventional baseline"
1.967,136,A4,AlignAtSource,"Aligned at P2; preparing pick."
2.422,136,A4,ScanBarcode,"Reading parcel barcode and checking the category rack for an empty slot."
2.723,136,A4,Pick,"Barcode EP0136-P01|DEST:Rack-Books|TASK:A4-T01 verified: Books -> Rack_4_3-S01. Pick action started."
4.218,136,A4,VerifyGrasp,"Verifying parcel grasp."
4.675,136,A4,SecureForTransport,"Grasp verified; retracting parcel to rear transport deck."
7.611,136,A4,NavigateToDestination,"Load secured: transporting to Rack-Books."
35.406,136,A4,Place,"At Rack-Books; placing parcel."
38.738,136,A4,Complete,"Wrong Placement: parcel was deposited at the stale rack position; scenario ended."
38.738,136,A4,NO_DISTURBANCE_EXPOSURE,"Episode ended; use exposure flag when comparing policies. WRONG_PLACEMENT"
0.000,138,A4,EPISODE_SETUP,"Seed=1705; orders=3; Module1 conventional baseline"
1.998,138,A4,AlignAtSource,"Aligned at P2; preparing pick."
2.454,138,A4,ScanBarcode,"Reading parcel barcode and checking the category rack for an empty slot."
2.769,138,A4,Pick,"Barcode EP0138-P01|DEST:Rack-Books|TASK:A4-T01 verified: Books -> Rack_4_3-S01. Pick action started."
4.265,138,A4,VerifyGrasp,"Verifying parcel grasp."
4.723,138,A4,SecureForTransport,"Grasp verified; retracting parcel to rear transport deck."
7.661,138,A4,NavigateToDestination,"Load secured: transporting to Rack-Books."
35.463,138,A4,Place,"At Rack-Books; placing parcel."
38.772,138,A4,Complete,"Wrong Placement: parcel was deposited at the stale rack position; scenario ended."
38.772,138,A4,NO_DISTURBANCE_EXPOSURE,"Episode ended; use exposure flag when comparing policies. WRONG_PLACEMENT"
0.000,140,A4,EPISODE_SETUP,"Seed=1705; orders=3; Module1 conventional baseline"
1.972,140,A4,AlignAtSource,"Aligned at P2; preparing pick."
2.425,140,A4,ScanBarcode,"Reading parcel barcode and checking the category rack for an empty slot."
2.726,140,A4,Pick,"Barcode EP0140-P01|DEST:Rack-Books|TASK:A4-T01 verified: Books -> Rack_4_3-S01. Pick action started."
4.230,140,A4,VerifyGrasp,"Verifying parcel grasp."
4.686,140,A4,SecureForTransport,"Grasp verified; retracting parcel to rear transport deck."
7.730,140,A4,NavigateToDestination,"Load secured: transporting to Rack-Books."
35.529,140,A4,Place,"At Rack-Books; placing parcel."
38.876,140,A4,Complete,"Wrong Placement: parcel was deposited at the stale rack position; scenario ended."
38.876,140,A4,NO_DISTURBANCE_EXPOSURE,"Episode ended; use exposure flag when comparing policies. WRONG_PLACEMENT"
