timestamp,scenario_id,episode_id,step_id,execution_mode,policy_id,selected_action,collision_risk,predicted_minimum_separation,time_to_closest_approach,shadow_hold,reason
0.1445,1,93,1,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Forward",0.0000,50.4064,4.0000,False,"Trusted context is safe for the current task action"
0.2558,1,93,2,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Forward",0.0000,50.9752,4.0000,False,"Trusted context is safe for the current task action"
0.3810,1,93,3,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Forward",0.0000,50.3678,4.0000,False,"Trusted context is safe for the current task action"
0.5013,1,93,4,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Forward",0.0000,50.1005,4.0000,False,"Trusted context is safe for the current task action"
0.6275,1,93,5,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Forward",0.0000,50.3875,4.0000,False,"Trusted context is safe for the current task action"
0.7546,1,93,6,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Forward",0.0000,48.3060,4.0000,False,"Trusted context is safe for the current task action"
0.8781,1,93,7,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Forward",0.0000,47.8218,4.0000,False,"Trusted context is safe for the current task action"
1.0059,1,93,8,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Forward",0.0000,49.2305,4.0000,False,"Trusted context is safe for the current task action"
1.1060,1,93,9,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Forward",0.0000,49.5972,4.0000,False,"Trusted context is safe for the current task action"
1.2128,1,93,10,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Forward",0.0000,48.1109,4.0000,False,"Trusted context is safe for the current task action"
1.3268,1,93,11,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Forward",0.0000,47.3104,4.0000,False,"Trusted context is safe for the current task action"
1.4364,1,93,12,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Forward",0.0000,46.3407,4.0000,False,"Trusted context is safe for the current task action"
1.5366,1,93,13,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Forward",0.0000,45.2075,4.0000,False,"Trusted context is safe for the current task action"
1.6598,1,93,14,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Forward",0.0000,46.5203,4.0000,False,"Trusted context is safe for the current task action"
1.7842,1,93,15,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Forward",0.0000,46.6937,4.0000,False,"Trusted context is safe for the current task action"
1.9091,1,93,16,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Forward",0.0000,47.1516,4.0000,False,"Trusted context is safe for the current task action"
2.0364,1,93,17,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Wait",0.0000,47.6613,4.0000,True,"Trusted context is safe for the current task action"
2.1673,1,93,18,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Wait",0.0000,51.1805,0.0000,True,"Confirming that H1 has cleared the blind corner"
2.2953,1,93,19,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Wait",0.0000,51.1926,0.0000,True,"Confirming that H1 has cleared the blind corner"
2.3956,1,93,20,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Wait",0.0000,51.2328,0.0000,True,"Confirming that H1 has cleared the blind corner"
2.5185,1,93,21,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Wait",0.0000,51.2572,0.0000,True,"Confirming that H1 has cleared the blind corner"
2.6471,1,93,22,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Wait",0.0000,50.0768,4.0000,True,"Confirming that H1 has cleared the blind corner"
2.7572,1,93,23,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Wait",0.0000,50.5910,4.0000,True,"Confirming that H1 has cleared the blind corner"
2.8849,1,93,24,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Wait",0.0000,50.1904,4.0000,True,"Confirming that H1 has cleared the blind corner"
3.0141,1,93,25,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Wait",0.0000,50.3258,4.0000,True,"Predicted conflict cleared; resume the delivery route"
3.1150,1,93,26,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Wait",0.0000,50.0342,4.0000,True,"Predicted conflict cleared; resume the delivery route"
3.2321,1,93,27,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Wait",0.0000,50.0794,4.0000,True,"Predicted conflict cleared; resume the delivery route"
3.3408,1,93,28,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Wait",0.0000,49.8846,4.0000,True,"Predicted conflict cleared; resume the delivery route"
3.4537,1,93,29,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Wait",0.0000,50.1148,4.0000,True,"Predicted conflict cleared; resume the delivery route"
3.5903,1,93,30,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Wait",0.0000,49.8642,4.0000,True,"Predicted conflict cleared; resume the delivery route"
3.6989,1,93,31,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Wait",0.0000,49.7785,4.0000,True,"Predicted conflict cleared; resume the delivery route"
3.7993,1,93,32,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Wait",0.0000,50.0472,4.0000,True,"Predicted conflict cleared; resume the delivery route"
3.9290,1,93,33,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Wait",0.0000,49.7251,4.0000,True,"Predicted conflict cleared; resume the delivery route"
4.0369,1,93,34,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Wait",0.0000,49.7007,4.0000,True,"Predicted conflict cleared; resume the delivery route"
4.1722,1,93,35,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Wait",0.0000,49.6686,4.0000,True,"Predicted conflict cleared; resume the delivery route"
4.2791,1,93,36,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Wait",0.0000,49.7856,4.0000,True,"Predicted conflict cleared; resume the delivery route"
4.3820,1,93,37,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Wait",0.0000,50.0236,4.0000,True,"Predicted conflict cleared; resume the delivery route"
4.4880,1,93,38,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Wait",0.0000,49.5620,4.0000,True,"Predicted conflict cleared; resume the delivery route"
4.6111,1,93,39,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Wait",0.0000,50.6967,0.0000,True,"Predicted conflict cleared; resume the delivery route"
4.7145,1,93,40,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Wait",0.0000,49.4779,4.0000,True,"Predicted conflict cleared; resume the delivery route"
4.8400,1,93,41,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Wait",0.0000,50.2910,4.0000,True,"Predicted conflict cleared; resume the delivery route"
4.9688,1,93,42,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Wait",0.0000,49.5071,4.0000,True,"Predicted conflict cleared; resume the delivery route"
5.0925,1,93,43,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Wait",0.0000,49.3612,4.0000,True,"Predicted conflict cleared; resume the delivery route"
5.2337,1,93,44,"FullATADTRL",A1_SECURE_POLICY_PILOT_V1,"Wait",0.0000,49.4963,4.0000,True,"Predicted conflict cleared; resume the delivery route"
