timestamp,episode_id,scenario_code,phase,detail
0.000,58,E4,EPISODE_SETUP,"Seed=1710; orders=2; Module1 conventional baseline"
1.601,58,E4,AlignAtSource,"Aligned at S1; preparing pick."
2.069,58,E4,ScanBarcode,"Reading parcel barcode and validating station destination S2."
2.372,58,E4,Pick,"Barcode EP0058-P01|DEST:S2|TASK:E4-T01 verified: General -> S2. Pick action started."
5.526,58,E4,VerifyGrasp,"Verifying parcel grasp."
5.989,58,E4,SecureForTransport,"Grasp verified; retracting parcel to rear transport deck."
9.164,58,E4,NavigateToDestination,"Load secured: transporting to S2."
9.198,58,E4,DISPATCHED,"Operational order released after verified AMR pickup"
9.198,58,E4,ACTIVE,"S2 temporarily unavailable: legitimate warehouse operation in progress"
27.206,58,E4,RECOVERED,"S2 operation complete; station available again. PKG_E402 still bound for S3."
27.206,58,E4,Place,"At S2; placing parcel."
28.900,58,E4,VerifyRelease,"Verifying parcel release."
29.357,58,E4,NavigateToSource,"Moving to S1 for task 2 of 2."
37.703,58,E4,AlignAtSource,"Aligned at S1; preparing pick."
38.160,58,E4,ScanBarcode,"Reading parcel barcode and validating station destination S3."
38.464,58,E4,Pick,"Barcode EP0058-P02|DEST:S3|TASK:E4-T02 verified: General -> S3. Pick action started."
42.258,58,E4,VerifyGrasp,"Verifying parcel grasp."
42.721,58,E4,SecureForTransport,"Grasp verified; retracting parcel to rear transport deck."
45.999,58,E4,NavigateToDestination,"Load secured: transporting to S3."
72.258,58,E4,Place,"At S3; placing parcel."
74.837,58,E4,VerifyRelease,"Verifying parcel release."
75.287,58,E4,Complete,"Mission complete: all parcels have been picked, verified, placed, and released."
75.287,58,E4,EXPOSURE_RECORDED,"Episode ended; use exposure flag when comparing policies. Complete"
