timestamp,scenario_id,episode_id,step_id,twin_robot_x,twin_robot_y,twin_robot_yaw,twin_robot_velocity,h1_position,h1_velocity,h2_position,h2_velocity,h3_position,h3_velocity,h4_position,h4_velocity,h5_position,h5_velocity,f1_position,f1_velocity,f2_position,f2_velocity,parcel_id,parcel_position,destination_id,destination_rack_id,destination_slot_id,carrying_status,grasp_status,rack_available,P1_available,P2_available,P3_available,D1_available,D2_available,D3_available,current_task_stage,change_score,sync_trigger,critical_event,sync_reason,changed_components,last_sync_timestamp,state_age,robot_position_divergence,robot_yaw_divergence,robot_velocity_divergence,max_actor_position_divergence,divergence_triggered,stale_state_triggered
0.1600,13,130,1,-24.0040,-16.5429,-3.9451,0.4006,"9.333:0.050:13.500","0.000:0.000:0.000","-4.200:0.050:-13.500","0.000:0.000:0.000","-24.000:0.050:15.000","0.000:0.000:0.000","4.200:0.050:13.500","0.000:0.000:0.000","8.400:0.050:10.000","0.000:0.000:0.000","-19.800:0.050:-13.500","0.000:0.000:0.000","20.000:0.050:-8.000","0.000:0.000:0.000","Parcel_1","-24.806:1.050:-15.504","D2-Apparel","UNASSIGNED","UNASSIGNED",False,False,False,True,True,False,True,True,True,"NavigateToSource:Forward",1.00000,True,True,"Initial twin construction","ALL",0.1600,0.0000,0.0000,0.0000,0.0000,0.0000,False,False
0.2757,13,130,2,-24.0040,-16.5429,-3.9451,0.4006,"9.333:0.050:13.500","0.000:0.000:0.000","-4.200:0.050:-13.500","0.000:0.000:0.000","-24.000:0.050:15.000","0.000:0.000:0.000","4.200:0.050:13.500","0.000:0.000:0.000","8.400:0.050:10.000","0.000:0.000:0.000","-19.800:0.050:-13.500","0.000:0.000:0.000","20.000:0.050:-8.000","0.000:0.000:0.000","Parcel_1","-24.806:1.050:-15.504","D2-Apparel","UNASSIGNED","UNASSIGNED",False,False,False,True,True,False,True,True,True,"NavigateToSource:Forward",0.00006,False,False,"Twin maintained","",0.1600,0.1157,0.0159,3.1595,0.0151,0.0000,False,False
0.3863,13,130,3,-24.0040,-16.5429,-3.9451,0.4006,"9.333:0.050:13.500","0.000:0.000:0.000","-4.200:0.050:-13.500","0.000:0.000:0.000","-24.000:0.050:15.000","0.000:0.000:0.000","4.200:0.050:13.500","0.000:0.000:0.000","8.400:0.050:10.000","0.000:0.000:0.000","-19.800:0.050:-13.500","0.000:0.000:0.000","20.000:0.050:-8.000","0.000:0.000:0.000","Parcel_1","-24.806:1.050:-15.504","D2-Apparel","UNASSIGNED","UNASSIGNED",False,False,False,True,True,False,True,True,True,"NavigateToSource:Forward",0.00104,False,False,"Twin maintained","robot.velocity",0.1600,0.2264,0.0364,2.5885,0.2737,0.0000,False,False
0.4950,13,130,4,-24.0040,-16.5429,-3.9451,0.4006,"9.333:0.050:13.500","0.000:0.000:0.000","-4.200:0.050:-13.500","0.000:0.000:0.000","-24.000:0.050:15.000","0.000:0.000:0.000","4.200:0.050:13.500","0.000:0.000:0.000","8.400:0.050:10.000","0.000:0.000:0.000","-19.800:0.050:-13.500","0.000:0.000:0.000","20.000:0.050:-8.000","0.000:0.000:0.000","Parcel_1","-24.806:1.050:-15.504","D2-Apparel","UNASSIGNED","UNASSIGNED",False,False,False,True,True,False,True,True,True,"NavigateToSource:Forward",0.00163,False,False,"Twin maintained","robot.velocity",0.1600,0.3350,0.0840,3.7600,0.1794,0.0000,False,False
0.5985,13,130,5,-24.0040,-16.5429,-3.9451,0.4006,"9.333:0.050:13.500","0.000:0.000:0.000","-4.200:0.050:-13.500","0.000:0.000:0.000","-24.000:0.050:15.000","0.000:0.000:0.000","4.200:0.050:13.500","0.000:0.000:0.000","8.400:0.050:10.000","0.000:0.000:0.000","-19.800:0.050:-13.500","0.000:0.000:0.000","20.000:0.050:-8.000","0.000:0.000:0.000","Parcel_1","-24.806:1.050:-15.504","D2-Apparel","UNASSIGNED","UNASSIGNED",False,False,False,True,True,False,True,True,True,"NavigateToSource:Forward",0.00022,False,False,"Twin maintained","",0.1600,0.4385,0.1545,0.2600,0.1216,0.0000,False,False
0.7057,13,130,6,-24.0192,-16.3351,-2.5983,0.8200,"9.333:0.050:13.500","0.000:0.000:0.000","-4.200:0.050:-13.500","0.000:0.000:0.000","-24.000:0.050:15.000","0.000:0.000:0.000","4.200:0.050:13.500","0.000:0.000:0.000","8.400:0.050:10.000","0.000:0.000:0.000","-19.800:0.050:-13.500","0.000:0.000:0.000","20.000:0.050:-8.000","0.000:0.000:0.000","Parcel_1","-24.806:1.050:-15.504","D2-Apparel","UNASSIGNED","UNASSIGNED",False,False,False,True,True,False,True,True,True,"NavigateToSource:Forward",0.00108,True,False,"Twin divergence threshold exceeded","robot.velocity",0.7057,0.0000,0.2083,1.3468,0.4194,0.0000,True,False
0.8059,13,130,7,-24.0192,-16.3351,-2.5983,0.8200,"9.333:0.050:13.500","0.000:0.000:0.000","-4.200:0.050:-13.500","0.000:0.000:0.000","-24.000:0.050:15.000","0.000:0.000:0.000","4.200:0.050:13.500","0.000:0.000:0.000","8.400:0.050:10.000","0.000:0.000:0.000","-19.800:0.050:-13.500","0.000:0.000:0.000","20.000:0.050:-8.000","0.000:0.000:0.000","Parcel_1","-24.806:1.050:-15.504","D2-Apparel","UNASSIGNED","UNASSIGNED",False,False,False,True,True,False,True,True,True,"NavigateToSource:Forward",0.00078,False,False,"Twin maintained","robot.velocity",0.7057,0.1002,0.0511,1.4372,0.2147,0.0000,False,False
0.9207,13,130,8,-24.0192,-16.3351,-2.5983,0.8200,"9.333:0.050:13.500","0.000:0.000:0.000","-4.200:0.050:-13.500","0.000:0.000:0.000","-24.000:0.050:15.000","0.000:0.000:0.000","4.200:0.050:13.500","0.000:0.000:0.000","8.400:0.050:10.000","0.000:0.000:0.000","-19.800:0.050:-13.500","0.000:0.000:0.000","20.000:0.050:-8.000","0.000:0.000:0.000","Parcel_1","-24.806:1.050:-15.504","D2-Apparel","UNASSIGNED","UNASSIGNED",False,False,False,True,True,False,True,True,True,"NavigateToSource:Forward",0.00057,False,False,"Twin maintained","",0.7057,0.2150,0.1543,1.9041,0.0610,0.0000,False,False
1.0256,13,130,9,-24.0192,-16.3351,-2.5983,0.8200,"9.333:0.050:13.500","0.000:0.000:0.000","-4.200:0.050:-13.500","0.000:0.000:0.000","-24.000:0.050:15.000","0.000:0.000:0.000","4.200:0.050:13.500","0.000:0.000:0.000","8.400:0.050:10.000","0.000:0.000:0.000","-19.800:0.050:-13.500","0.000:0.000:0.000","20.000:0.050:-8.000","0.000:0.000:0.000","Parcel_1","-24.806:1.050:-15.504","D2-Apparel","UNASSIGNED","UNASSIGNED",False,False,False,True,True,False,True,True,True,"NavigateToSource:Forward",0.00030,False,False,"Twin maintained","",0.7057,0.3199,0.2596,1.8154,0.0174,0.0000,False,False
1.1297,13,130,10,-24.0192,-16.3351,-2.5983,0.8200,"9.333:0.050:13.500","0.000:0.000:0.000","-4.200:0.050:-13.500","0.000:0.000:0.000","-24.000:0.050:15.000","0.000:0.000:0.000","4.200:0.050:13.500","0.000:0.000:0.000","8.400:0.050:10.000","0.000:0.000:0.000","-19.800:0.050:-13.500","0.000:0.000:0.000","20.000:0.050:-8.000","0.000:0.000:0.000","Parcel_1","-24.806:1.050:-15.504","D2-Apparel","UNASSIGNED","UNASSIGNED",False,False,False,True,True,False,True,True,True,"NavigateToSource:Forward",0.00062,False,False,"Twin maintained","",0.7057,0.4241,0.3615,0.9010,0.1851,0.0000,False,False
