timestamp,episode_id,scenario_code,phase,detail
0.000,60,T5,EPISODE_SETUP,"Seed=1716; orders=1; Module1 conventional baseline"
1.586,60,T5,AlignAtSource,"Aligned at P3; preparing pick."
2.129,60,T5,ScanBarcode,"Reading parcel barcode and validating station destination D1-Electronics."
2.430,60,T5,Pick,"Barcode EP0060-P01|DEST:D1-Electronics|TASK:T5-T01 verified: Electronics -> D1-Electronics. Pick action started."
5.805,60,T5,VerifyGrasp,"Verifying parcel grasp."
6.274,60,T5,SecureForTransport,"Grasp verified; retracting parcel to rear transport deck."
9.638,60,T5,NavigateToDestination,"Load secured: transporting to D1-Electronics."
9.654,60,T5,DISPATCHED,"Operational order released after verified AMR pickup"
10.659,60,T5,ACTIVE,"Dispatch update backlog: actor and station channels delayed"
20.277,60,T5,Place,"At D1-Electronics; placing parcel."
20.671,60,T5,RECOVERED,"Disturbance window cleared; ordinary jobs continue"
21.954,60,T5,VerifyRelease,"Verifying parcel release."
22.405,60,T5,Complete,"Mission complete: all parcels have been picked, verified, placed, and released."
22.405,60,T5,EXPOSURE_RECORDED,"Episode ended; use exposure flag when comparing policies. Complete"
