timestamp,episode_id,scenario_code,phase,detail
0.000,19,T1,EPISODE_SETUP,"Seed=1712; orders=1; Module1 conventional baseline"
1.577,19,T1,AlignAtSource,"Aligned at P2; preparing pick."
2.039,19,T1,ScanBarcode,"Reading parcel barcode and checking the category rack for an empty slot."
2.352,19,T1,Pick,"Barcode ATD-T1-001 verified: Healthcare -> Rack_0_0-S01. Pick action started."
5.302,19,T1,VerifyGrasp,"Verifying parcel grasp."
5.771,19,T1,SecureForTransport,"Grasp verified; retracting parcel to rear transport deck."
0.000,36,T1,EPISODE_SETUP,"Seed=1712; orders=1; Module1 conventional baseline"
1.553,36,T1,AlignAtSource,"Aligned at P2; preparing pick."
2.003,36,T1,ScanBarcode,"Reading parcel barcode and validating station destination D3-Healthcare."
2.308,36,T1,Pick,"Barcode ATD-T1-001 verified: Healthcare -> D3-Healthcare. Pick action started."
5.103,36,T1,VerifyGrasp,"Verifying parcel grasp."
5.555,36,T1,SecureForTransport,"Grasp verified; retracting parcel to rear transport deck."
8.355,36,T1,NavigateToDestination,"Load secured: transporting to D3-Healthcare."
8.364,36,T1,DISPATCHED,"Operational order released after verified AMR pickup"
9.368,36,T1,ACTIVE,"F1 telemetry latency: 2.5 seconds"
21.376,36,T1,RECOVERED,"Disturbance window cleared; ordinary jobs continue"
0.000,53,T1,EPISODE_SETUP,"Seed=1712; orders=1; Module1 conventional baseline"
1.576,53,T1,AlignAtSource,"Aligned at P2; preparing pick."
2.027,53,T1,ScanBarcode,"Reading parcel barcode and validating station destination D3-Healthcare."
2.331,53,T1,Pick,"Barcode ATD-T1-001 verified: Healthcare -> D3-Healthcare. Pick action started."
6.295,53,T1,VerifyGrasp,"Verifying parcel grasp."
6.777,53,T1,SecureForTransport,"Grasp verified; retracting parcel to rear transport deck."
9.660,53,T1,NavigateToDestination,"Load secured: transporting to D3-Healthcare."
9.697,53,T1,DISPATCHED,"Operational order released after verified AMR pickup"
10.711,53,T1,ACTIVE,"F1 telemetry latency: 2.5 seconds"
22.717,53,T1,RECOVERED,"Disturbance window cleared; ordinary jobs continue"
